experiment,stealth_pre_attack_accuracy,stealth_pre_attack_round_single,stealth_pre_attack_accuracy_avg5,stealth_attack_phase_avg_accuracy,stealth_attack_phase_min_accuracy,stealth_attack_phase_max_accuracy,stealth_max_accuracy_drop,stealth_max_accuracy_drop_single,stealth_max_accuracy_drop_avg5,stealth_max_drop_round,stealth_avg_accuracy_drop,stealth_avg_accuracy_drop_single,stealth_avg_accuracy_drop_avg5,stealth_accuracy_variance,stealth_attack_phase_rounds,stealth_is_stealthy,durability_peak_backdoor_accuracy,durability_final_backdoor_accuracy,durability_attack_start,durability_attack_end,durability_lifespan_50,durability_lifespan_40,durability_lifespan_30,durability_lifespan_25,durability_stab_threshold_50,durability_stab_threshold_40,durability_stab_threshold_30,durability_stab_threshold_25,durability_stab_threshold_20,durability_stab_volatility_10,durability_stab_volatility_05,durability_stab_volatility_03,durability_post_attack_volatility,durability_impact_rounds_above_50,durability_impact_rounds_above_40,durability_impact_rounds_above_30,durability_impact_rounds_above_25,durability_post_attack_rounds,durability_post_attack_avg_ba,durability_post_attack_min_ba,durability_post_attack_max_ba,durability_stab_window,durability_stab_tolerance
EX_SET1_G(1)_20260324_151721,0.8131578947368421,49,0.7794736842105262,0.7683361629881154,0.6894736842105263,0.8131578947368421,0.12368421052631573,0.12368421052631573,0.08999999999999986,54,0.04482173174872664,0.04482173174872664,0.02112054329371811,0.03766305805793047,31,False,0.6024096385542169,0.21686746987951808,50,80,0,0,0,0,20,20,27,111,-1,20,373,-1,0.06318035887259207,3,19,132,332,919,0.22457621563511937,0.024096385542168676,0.4939759036144578,20,0.8
EX_SET1_G(2)_20260324_160718,0.7868421052631579,49,0.7863157894736843,0.7753820033955857,0.6578947368421053,0.8263157894736842,0.1289473684210526,0.1289473684210526,0.128421052631579,53,0.018251273344651958,0.018251273344651958,0.017979626485568813,0.036258207509078044,31,False,0.4939759036144578,0.2289156626506024,50,80,0,0,0,0,20,20,20,22,-1,20,381,-1,0.05856793639351444,1,17,131,355,919,0.2323898422853547,0.04819277108433735,0.5662650602409639,20,0.8
EX_SET1_G(3)_20260324_165712,0.7736842105263158,49,0.7736842105263158,0.782427843803056,0.6763157894736842,0.8263157894736842,0.09736842105263155,0.09736842105263155,0.09736842105263155,54,0.00831918505942273,0.00831918505942273,0.00831918505942273,0.030503523681034966,31,False,0.6024096385542169,0.20481927710843373,50,80,0,0,0,0,20,20,20,23,77,20,209,795,0.05598127052127675,1,9,87,244,919,0.21326218912647324,0.060240963855421686,0.46987951807228917,20,0.8
EX_SET1_G(4)_20260324_174653,0.7763157894736842,49,0.7805263157894736,0.7782682512733448,0.7315789473684211,0.8105263157894737,0.044736842105263075,0.044736842105263075,0.04894736842105252,56,0.008404074702886241,0.008404074702886241,0.010220713073005074,0.02224649683415774,31,True,0.5180722891566265,0.30120481927710846,50,80,0,0,1,2,20,20,20,20,-1,27,148,-1,0.05480670607750544,2,5,93,327,919,0.22393382015548594,0.03614457831325301,0.5180722891566265,20,0.8
EX_SET1_G(5)_20260324_183638,0.7368421052631579,49,0.7694736842105263,0.7859932088285229,0.6973684210526315,0.8289473684210527,0.03947368421052633,0.03947368421052633,0.07210526315789478,52,0.002292020373514428,0.002292020373514428,0.007741935483870968,0.03386047015258237,31,True,0.5421686746987951,0.21686746987951808,50,80,0,1,3,3,20,20,27,100,-1,20,284,622,0.05706118002442034,2,13,108,280,919,0.2202498787314656,0.07228915662650602,0.4457831325301205,20,0.8
EX_SET1_H(1)_20260324_192625,0.8105263157894737,49,0.778421052631579,0.76893039049236,0.6526315789473685,0.8131578947368421,0.1578947368421052,0.1578947368421052,0.12578947368421056,61,0.041680814940577196,0.041680814940577196,0.01966044142614603,0.041644515006414,31,False,0.6746987951807228,0.1566265060240964,50,80,0,0,1,1,20,24,33,48,408,35,327,380,0.06122888219067881,6,21,77,194,919,0.2026692187684361,0.024096385542168676,0.5060240963855421,20,0.8
EX_SET1_H(2)_20260324_201652,0.7684210526315789,49,0.7684210526315789,0.7852292020373512,0.7078947368421052,0.8157894736842105,0.06052631578947365,0.06052631578947365,0.06052631578947365,63,0.005687606112054322,0.005687606112054322,0.005687606112054322,0.02688573526150315,31,False,0.5662650602409639,0.20481927710843373,50,80,0,0,0,1,20,20,20,98,-1,54,310,623,0.060342701716129814,2,10,97,282,919,0.21594976205147032,0.03614457831325301,0.4819277108433735,20,0.8
EX_SET1_H(3)_20260324_210914,0.7605263157894737,49,0.7863157894736842,0.7751273344651953,0.65,0.8210526315789474,0.1105263157894737,0.1105263157894737,0.13631578947368417,65,0.009592529711375216,0.009592529711375216,0.018981324278438023,0.04051172390342846,31,False,0.6024096385542169,0.21686746987951808,50,80,0,0,0,0,20,20,112,330,-1,94,329,-1,0.06681987231237695,5,20,203,410,919,0.24173735201961274,0.060240963855421686,0.5421686746987951,20,0.8
EX_SET1_H(4)_20260324_220313,0.8052631578947368,49,0.7805263157894736,0.7814091680814943,0.7052631578947368,0.8263157894736842,0.09999999999999998,0.09999999999999998,0.07526315789473681,56,0.02538200339558569,0.02538200339558569,0.010390492359932064,0.0274234895023784,31,False,0.4939759036144578,0.24096385542168675,50,80,0,0,0,0,20,20,23,61,-1,37,134,327,0.056258109682011115,0,5,73,246,919,0.21336707002110725,0.03614457831325301,0.46987951807228917,20,0.8
EX_SET1_H(5)_20260324_225706,0.8131578947368421,49,0.7810526315789474,0.7627334465195247,0.6131578947368421,0.8131578947368421,0.19999999999999996,0.19999999999999996,0.16789473684210532,53,0.05042444821731745,0.05042444821731745,0.02691001697792873,0.049124828157951536,31,False,0.5421686746987951,0.2289156626506024,50,80,0,0,0,0,20,20,20,20,71,20,500,581,0.059210217393673256,4,10,131,332,919,0.22782752336877435,0.04819277108433735,0.42168674698795183,20,0.8
EX_SET1_Z(1)_20260324_235903,0.8052631578947368,49,0.7836842105263158,0.782427843803056,0.7131578947368421,0.8289473684210527,0.09210526315789469,0.09210526315789469,0.07052631578947366,57,0.02495755517826821,0.02495755517826821,0.012359932088285223,0.029674963540240223,31,False,0.5903614457831325,0.1566265060240964,50,80,0,1,1,20,20,20,72,180,-1,48,261,-1,0.061335683062720636,2,19,166,392,919,0.23509052532218103,0.060240963855421686,0.4939759036144578,20,0.8
EX_SET1_Z(2)_20260325_004913,0.7263157894736842,49,0.7521052631578948,0.7826825127334465,0.7157894736842105,0.8289473684210527,0.010526315789473717,0.010526315789473717,0.0363157894736843,69,0.0005942275042444841,0.0005942275042444841,0.00320882852292022,0.02896151323910713,31,True,0.5180722891566265,0.12048192771084337,50,80,0,0,0,3,20,20,48,58,-1,49,575,886,0.0647805953631386,2,14,130,303,919,0.21880776643024766,0.04819277108433735,0.5903614457831325,20,0.8
EX_SET1_Z(3)_20260325_013921,0.8,49,0.7978947368421053,0.7673174872665535,0.6842105263157895,0.8131578947368421,0.11578947368421055,0.11578947368421055,0.11368421052631583,69,0.03463497453310699,0.03463497453310699,0.033073005093378655,0.03754206132077129,31,False,0.5783132530120482,0.26506024096385544,50,80,0,0,0,0,20,20,20,839,-1,66,385,-1,0.06513272181028883,5,20,293,570,919,0.2573514952082541,0.03614457831325301,0.4819277108433735,20,0.8
