backdoor_accuracy,triggered_anomaly_total,triggered_anomaly_misclassified,features_found,features_missing,round,attack_active,accuracy_drop
0.2891566265060241,83,24,83,0,132,False,0.010526315789473717
0.1927710843373494,83,16,83,0,133,False,-0.018421052631578894
0.20481927710843373,83,17,83,0,134,False,-0.015789473684210464
0.3132530120481928,83,26,83,0,135,False,0.0
0.14457831325301204,83,12,83,0,136,False,-0.023684210526315752
0.18072289156626506,83,15,83,0,137,False,-0.021052631578947323
0.21686746987951808,83,18,83,0,138,False,-0.015789473684210464
0.10843373493975904,83,9,83,0,139,False,0.010526315789473717
0.14457831325301204,83,12,83,0,140,False,-0.007894736842105288
0.18072289156626506,83,15,83,0,141,False,-0.007894736842105288
0.1566265060240964,83,13,83,0,142,False,-0.02631578947368418
0.21686746987951808,83,18,83,0,143,False,-0.0052631578947368585
0.21686746987951808,83,18,83,0,144,False,-0.021052631578947323
0.060240963855421686,83,5,83,0,145,False,0.03421052631578947
0.26506024096385544,83,22,83,0,146,False,-0.0052631578947368585
0.12048192771084337,83,10,83,0,147,False,0.023684210526315863
0.26506024096385544,83,22,83,0,148,False,-0.021052631578947323
0.24096385542168675,83,20,83,0,149,False,-0.021052631578947323
0.060240963855421686,83,5,83,0,150,False,0.013157894736842146
0.13253012048192772,83,11,83,0,151,False,-0.0026315789473684292
0.26506024096385544,83,22,83,0,152,False,-0.010526315789473606
0.18072289156626506,83,15,83,0,153,False,-0.023684210526315752
0.40963855421686746,83,34,83,0,154,False,0.044736842105263186
0.18072289156626506,83,15,83,0,155,False,-0.03157894736842104
0.3253012048192771,83,27,83,0,156,False,-0.0026315789473684292
0.1566265060240964,83,13,83,0,157,False,-0.023684210526315752
0.27710843373493976,83,23,83,0,158,False,-0.015789473684210464
0.20481927710843373,83,17,83,0,159,False,-0.02894736842105261
0.3132530120481928,83,26,83,0,160,False,0.0
0.18072289156626506,83,15,83,0,161,False,-0.03157894736842104
0.20481927710843373,83,17,83,0,162,False,-0.02894736842105261
0.0963855421686747,83,8,83,0,163,False,0.044736842105263186
0.1686746987951807,83,14,83,0,164,False,-0.044736842105263075
0.2891566265060241,83,24,83,0,165,False,0.0
0.26506024096385544,83,22,83,0,166,False,0.0026315789473684292
0.1927710843373494,83,16,83,0,167,False,-0.02894736842105261
0.12048192771084337,83,10,83,0,168,False,-0.0026315789473684292
0.24096385542168675,83,20,83,0,169,False,-0.0052631578947368585
0.24096385542168675,83,20,83,0,170,False,-0.021052631578947323
0.18072289156626506,83,15,83,0,171,False,-0.02631578947368418
0.3373493975903614,83,28,83,0,172,False,0.023684210526315863
0.18072289156626506,83,15,83,0,173,False,-0.03157894736842104
0.20481927710843373,83,17,83,0,174,False,-0.013157894736842035
0.2289156626506024,83,19,83,0,175,False,-0.013157894736842035
0.14457831325301204,83,12,83,0,176,False,-0.021052631578947323
0.3253012048192771,83,27,83,0,177,False,0.026315789473684292
0.25301204819277107,83,21,83,0,178,False,-0.015789473684210464
0.26506024096385544,83,22,83,0,179,False,-0.010526315789473606
0.21686746987951808,83,18,83,0,180,False,0.010526315789473717
0.1927710843373494,83,16,83,0,181,False,-0.03157894736842104
0.26506024096385544,83,22,83,0,182,False,-0.010526315789473606
0.18072289156626506,83,15,83,0,183,False,-0.013157894736842035
0.2289156626506024,83,19,83,0,184,False,-0.010526315789473606
0.07228915662650602,83,6,83,0,185,False,0.010526315789473717
0.1927710843373494,83,16,83,0,186,False,-0.021052631578947323
0.1927710843373494,83,16,83,0,187,False,-0.02894736842105261
0.10843373493975904,83,9,83,0,188,False,-0.0052631578947368585
0.18072289156626506,83,15,83,0,189,False,-0.018421052631578894
0.3373493975903614,83,28,83,0,190,False,0.015789473684210575
0.12048192771084337,83,10,83,0,191,False,-0.015789473684210464
0.25301204819277107,83,21,83,0,192,False,-0.010526315789473606
0.12048192771084337,83,10,83,0,193,False,-0.010526315789473606
0.10843373493975904,83,9,83,0,194,False,-0.007894736842105288
0.24096385542168675,83,20,83,0,195,False,-0.023684210526315752
0.1927710843373494,83,16,83,0,196,False,-0.02631578947368418
0.12048192771084337,83,10,83,0,197,False,-0.02894736842105261
0.2891566265060241,83,24,83,0,198,False,-0.0052631578947368585
0.25301204819277107,83,21,83,0,199,False,-0.0052631578947368585
